"Year","Date","Day","Item","Checked Out","Checked In","TimeBin"
2023," Sep 24","Sun","PB  "," 7:48P"," 10:59A","6PM-8PM"
2023," Sep 21","Thu","PB  "," 4:33P"," 5:17P","4PM-6PM"
2023," Sep 21","Thu","PB  "," 8:28P"," 9:36P","8PM-10PM"
2023," Sep 24","Sun","PB  "," 7:48P"," 10:59A","6PM-8PM"
2023," Sep 24","Sun","PB  "," 7:48P"," 10:59A","6PM-8PM"
2023," Sep 19","Tue","RB  "," 8:55P"," 8:55P","8PM-10PM"
2023," Sep 20","Wed","RB  "," 2:07P"," 2:08P","2PM-4PM"
2023," Sep 20","Wed","RB  "," 6:51P"," 6:52P","6PM-8PM"
2023," Sep 21","Thu","RB  "," 6:28P"," 6:32P","6PM-8PM"
2023," Sep 17","Sun","TT"," 6:33P"," 7:58P","6PM-8PM"
2023," Sep 18","Mon","TT"," 9:20P"," 10:02P","8PM-10PM"
2023," Sep 19","Tue","TT"," 6:00P"," 7:50P","6PM-8PM"
2023," Sep 20","Wed","TT"," 9:35P"," 10:33P","8PM-10PM"
2023," Sep 21","Thu","TT"," 5:14P"," 5:05A","4PM-6PM"
2023," Sep 19","Tue","TT"," 6:03P"," 7:13P","6PM-8PM"
2023," Sep 21","Thu","TT"," 6:08P"," 7:47P","6PM-8PM"
2023," Sep 24","Sun","TT"," 10:14P"," 10:35P","10PM-12AM"
2023," Sep 17","Sun","TENNIS"," 9:28P"," 10:22P","8PM-10PM"
2023," Sep 20","Wed","TENNIS"," 4:13P"," 8:21P","4PM-6PM"
2023," Sep 21","Thu","TENNIS"," 9:09P"," 10:20P","8PM-10PM"
2023," Sep 22","Fri","TENNIS"," 10:22P"," 12:18P","10PM-12AM"
2023," Sep 21","Thu","TENNIS"," 9:09P"," 10:20P","8PM-10PM"
2023," Sep 22","Fri","TENNIS"," 10:22P"," 12:18P","10PM-12AM"
2023," Sep 21","Thu","TENNIS"," 7:27P"," 5:06A","6PM-8PM"
2023," Sep 17","Sun","WBB"," 8:40P"," 9:33P","8PM-10PM"
2023," Sep 18","Mon","WBB"," 5:59P"," 6:20P","4PM-6PM"
2023," Sep 18","Mon","WBB"," 7:23P"," 7:37P","6PM-8PM"
2023," Sep 19","Tue","WBB"," 4:32P"," 6:26P","4PM-6PM"
2023," Sep 19","Tue","WBB"," 7:15P"," 8:30P","6PM-8PM"
2023," Sep 20","Wed","WBB"," 12:51P"," 1:20P","12PM-2PM"
2023," Sep 20","Wed","WBB"," 5:06P"," 7:35P","4PM-6PM"
2023," Sep 21","Thu","WBB"," 2:14P"," 2:29P","2PM-4PM"
2023," Sep 22","Fri","WBB"," 5:45P"," 7:34P","4PM-6PM"
2023," Sep 22","Fri","WBB"," 8:05P"," 9:23P","8PM-10PM"
2023," Sep 17","Sun","WBB"," 7:52P"," 8:18P","6PM-8PM"
2023," Sep 18","Mon","WBB"," 4:11P"," 4:41P","4PM-6PM"
2023," Sep 19","Tue","WBB"," 5:49P"," 8:59P","4PM-6PM"
2023," Sep 20","Wed","WBB"," 5:37P"," 7:36P","4PM-6PM"
2023," Sep 23","Sat","WBB"," 9:25P"," 10:26P","8PM-10PM"
2023," Sep 17","Sun","WBB"," 6:00P"," 7:11P","6PM-8PM"
2023," Sep 19","Tue","WBB"," 6:00P"," 8:51P","6PM-8PM"
2023," Sep 22","Fri","WBB"," 5:18P"," 7:37P","4PM-6PM"
2023," Sep 22","Fri","WBB"," 9:17P"," 9:38P","8PM-10PM"
2023," Sep 24","Sun","WBB"," 3:59P"," 5:55P","2PM-4PM"
2023," Sep 19","Tue","WBB"," 5:50P"," 8:42P","4PM-6PM"
2023," Sep 20","Wed","WBB"," 5:27P"," 7:36P","4PM-6PM"
2023," Sep 23","Sat","WBB"," 9:25P"," 10:26P","8PM-10PM"
2023," Sep 24","Sun","WBB"," 4:50P"," 5:54P","4PM-6PM"
2023," Sep 24","Sun","WBB"," 9:56P"," 11:02P","8PM-10PM"
